x,y,u,v,ph,pv,xih,xiv
0,1,-1,0,0.077455,0.052987,-5.46217,14.7534
0.0312,0.9766,-0.6644227,-0.2279225,0.078837,0.052009,-8.4435,12.067
0.0391,0.9688,-0.5808359,-0.2936869,0.078685,0.051514,-8.24616,9.49496
0.0469,0.9609,-0.5169277,-0.3553213,0.078148,0.050949,-7.58524,6.95968
0.0547,0.9531,-0.4723329,-0.4103754,0.077154,0.050329,-6.50867,4.85754
0.0937,0.8516,-0.3372212,-0.5264392,0.065816,0.03491,0.92291,1.762
0.1406,0.7344,-0.1886747,-0.4264545,0.049029,0.012122,3.43016,2.09121
0.1953,0.6172,-0.0570178,-0.3202137,0.034552,-0.000827,2.21171,2.06539
0.5,0.5,0.0620561,0.0257995,0,0,2.06722,2.06722
0.7656,0.4531,0.1081999,0.3253592,0.044848,0.004434,2.06122,2.06215
0.7734,0.2813,0.2803696,0.3339924,0.04726,0.040377,2.00174,2.26772
0.8437,0.1719,0.3885691,0.3769189,0.069511,0.081925,0.74207,1.05467
0.9062,0.1016,0.3004561,0.3330442,0.084386,0.104187,-0.82398,-1.63436
0.9219,0.0703,0.2228955,0.3099097,0.086716,0.108566,-1.23991,-2.20175
0.9297,0.0625,0.20233,0.2962703,0.087653,0.1092,-1.50306,-2.31786
0.9375,0.0547,0.1812881,0.2807056,0.088445,0.109689,-1.83308,-2.4496
1,0,0,0,0.090477,0.110591,-7.66369,-4.16648
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
